CODIGO,DESCRIPCION,LATITUD,LONGITUD,DIRECCIÓN,LINES,,,,,,,,,,,,,,
18002,MADRID-NUEVOS MINISTERIOS,40.446612,-3.692207,CALLE RAIMUNDO FERNANDEZ VILLAVERDE,C4-C4A-C4B-C3-C10-C7-C8-C8A-C8B-C2,,,,,,,,,,,,,,
35600,ALUCHE,40.385738,-3.760807,AVENIDA DE LOS POBLADOS,C5,,,,,,,,,,,,,,
35608,LAGUNA,40.399006,-3.744225,CALLE ALHAMBRA,C5,,,,,,,,,,,,,,
17003,EL GOLOSO,40.558808,-3.713966,CARRETERA COLMENAR VIEJO,C4-C4B,,,,,,,,,,,,,,
17009,UNIVERSIDAD-CANTOBLANCO,40.543818,-3.700217,CARRETERA M-607 DE COLMENAR VIEJO KM 15.600 - ESTACION FERROCARRIL,C4-C4A-C4B,,,,,,,,,,,,,,
19001,UNIVERSIDAD PONTIFICIA DE COMILLAS,40.55412,-3.683267,CARRETERA M-616 - ESTACION FERROCARRIL,C4-C4A,,,,,,,,,,,,,,
98003,FUENTE DE LA MORA,40.484729,-3.662833,CALLE DULCE CHACON,C1-C11,,,,,,,,,,,,,,
70100,VICALVARO,40.401043,-3.5952733,CALLE SAN CIPRIANO,C2-C8-C8A-C8B-C7,,,,,,,,,,,,,,
98304,VALDEBEBAS,40.48207,-3.616414,AVENIDA DE LAS FUERZAS ARMADAS,C1,,,,,,,,,,,,,,
19002,VALDELASFUENTES,40.547425,-3.654149,CALLE MARQUES DE LA VALDAVIA,C4-C4A,,,,,,,,,,,,,,
19003,ALCOBENDAS SAN SEBASTIAN DE LOS REYES,40.546744,-3.635149,AVENIDA DE ESPAÑA,C4-C4A,,,,,,,,,,,,,,
10007,MAJADAHONDA,40.474347,-3.845334,CARRETERA DEL PLANTIO,C7-C10,,,,,,,,,,,,,,
10002,POZUELO,40.447225,-3.800145,CALLE ANTONIO DIAZ,C7-C10,,,,,,,,,,,,,,
10010,EL BARRIAL-CENTRO COMERCIAL-POZUELO,40.465299,-3.807828,CALLE RAFAEL BOTI,C7-C10,,,,,,,,,,,,,,
10005,LAS ROZAS,40.494215,-3.868181,CALLE SAN SEBASTIAN,C7-C10,,,,,,,,,,,,,,
10100,PINAR DE LAS ROZAS,40.522282,-3.882258,AVENIDA DE LOS BOMBEROS,C10-C8-C8A-C8B,,,,,,,,,,,,,,
10103,TORRELODONES,40.574559,-3.956577,PLAZA SALVADOR SANCHEZ FRASCUELO,C10-C8-C8A-C8B,,,,,,,,,,,,,,
10203,EL ESCORIAL,40.585279,-4.132418,CALLE SANTA ROSA,C8-C8A,,,,,,,,,,,,,,
10101,LAS MATAS,40.552415,-3.896791,PLAZA DEL FERROCARRIL,C10-C8-C8A-C8B,,,,,,,,,,,,,,
10201,SAN YAGO,40.617864,-4.31106,AVENIDA SALTOS DEL SIL,C8-C8A,,,,,,,,,,,,,,
10202,LAS ZORRERAS-NAVALQUEJIGO,40.609265,-4.46336,,C8-C8A,,,,,,,,,,,,,,
60200,ARANJUEZ,40.347255,-3.6182069,PASEO ESTACION FERROCARRIL,C3,,,,,,,,,,,,,,
60103,PINTO,40.2429829,-3.7036534,CALLE CRISTO,C3,,,,,,,,,,,,,,
60104,VALDEMORO,40.1958184,-3.6646737,PLAZA ESTACION FERROCARRIL,C3,,,,,,,,,,,,,,
60105,CIEMPOZUELOS,40.1590641,-3.610221,AVENIDA DE SAN JUAN DE DIOS,C3,,,,,,,,,,,,,,
10200,VILLALBA DE GUADARRAMA,40.626522,-4.812,,C10-C8-C8A-C8B,,,,,,,,,,,,,,
12001,LOS NEGRALES,40.63856,-4.21915,CALLE PARALELA,C8-C8B,,,,,,,,,,,,,,
10104,GALAPAGAR-LA NAVATA,40.600159,-3.981913,CARRETERA DE GALAPAGAR A LA NAVATA,C10-C8-C8A-C8B,,,,,,,,,,,,,,
12002,ALPEDRETE,40.658096,-4.34996,CAMINO DE LA ESTACION,C8-C8B,,,,,,,,,,,,,,
12004,COLLADO MEDIANO,40.692757,-4.35894,CALLE REAL,C8-C8B,,,,,,,,,,,,,,
12005,LOS MOLINOS-GUADARRAMA,40.706598,-4.67179,PASEO PEDRO GUTIERREZ,C8-C8B,,,,,,,,,,,,,,
12006,CERCEDILLA,40.737516,-4.66481,,C9-C8-C8B,,,,,,,,,,,,,,
